epoch,lr-AdamW,step,test_acc,train_acc,train_loss,val_acc,val_loss
,0.0001,0,,,,,
0,,89,,,,0.009803921915590763,4.604281425476074
0,,89,,0.006311360280960798,4.607180595397949,,
,9.990232305719945e-05,90,,,,,
1,,179,,,,0.009803921915590763,4.602456092834473
1,,179,,0.013323983177542686,4.605413913726807,,
,9.960967771506666e-05,180,,,,,
2,,269,,,,0.019607843831181526,4.595345497131348
2,,269,,0.01683029532432556,4.5992560386657715,,
,9.912321891107009e-05,270,,,,,
3,,359,,,,0.022875817492604256,4.565346717834473
3,,359,,0.024544179439544678,4.591665267944336,,
,9.844486647586723e-05,360,,,,,
4,,449,,,,0.016339870169758797,4.445676326751709
4,,449,,0.025245441123843193,4.528454303741455,,
,9.757729755661011e-05,450,,,,,
5,,539,,,,0.03594771400094032,4.35520076751709
5,,539,,0.022440392524003983,4.416608810424805,,
,9.652393605146844e-05,540,,,,,
6,,629,,,,0.03594771400094032,4.324161529541016
6,,629,,0.025946704670786858,4.362629413604736,,
,9.528893909706797e-05,630,,,,,
7,,719,,,,0.03594771400094032,4.304649353027344
7,,719,,0.028751753270626068,4.331797122955322,,
,9.387718066217124e-05,720,,,,,
8,,809,,,,0.03594771400094032,4.288207054138184
8,,809,,0.023842917755246162,4.310731887817383,,
,9.229423231234974e-05,810,,,,,
9,,899,,,,0.03594771400094032,4.292324066162109
9,,899,,0.025946704670786858,4.285881996154785,,
,9.054634122155989e-05,900,,,,,
10,,989,,,,0.03594771400094032,4.278045654296875
10,,989,,0.03155680373311043,4.286316394805908,,
,8.864040551740155e-05,990,,,,,
11,,1079,,,,0.03594771400094032,4.263020992279053
11,,1079,,0.03436185047030449,4.264567852020264,,
,8.658394705735986e-05,1080,,,,,
12,,1169,,,,0.03594771400094032,4.252444744110107
12,,1169,,0.03295932710170746,4.254725456237793,,
,8.438508174347008e-05,1170,,,,,
13,,1259,,,,0.03594771400094032,4.2486467361450195
13,,1259,,0.028050491586327553,4.246264934539795,,
,8.205248749256013e-05,1260,,,,,
14,,1349,,,,0.03594771400094032,4.243438720703125
14,,1349,,0.024544179439544678,4.233598232269287,,
,7.959536998847742e-05,1350,,,,,
15,,1439,,,,0.03594771400094032,4.223402976989746
15,,1439,,0.03576437756419182,4.229092121124268,,
,7.702342635146032e-05,1440,,,,,
16,,1529,,,,0.03594771400094032,4.212462902069092
16,,1529,,0.03366059064865112,4.205187797546387,,
,7.434680686803489e-05,1530,,,,,
17,,1619,,,,0.04575163498520851,4.199908256530762
17,,1619,,0.040673211216926575,4.207258701324463,,
,7.157607493247108e-05,1620,,,,,
18,,1709,,,,0.04248366132378578,4.187423229217529
18,,1709,,0.03576437756419182,4.182389736175537,,
,6.872216535789155e-05,1710,,,,,
19,,1799,,,,0.04901960864663124,4.169711112976074
19,,1799,,0.03366059064865112,4.173410415649414,,
,6.579634122155988e-05,1800,,,,,
20,,1889,,,,0.0555555559694767,4.156779766082764
20,,1889,,0.03436185047030449,4.161495685577393,,
,6.28101494146603e-05,1890,,,,,
21,,1979,,,,0.06535948067903519,4.138990879058838
21,,1979,,0.0441795215010643,4.117377758026123,,
,5.9775375071993364e-05,1980,,,,,
22,,2069,,,,0.06535948067903519,4.125529766082764
22,,2069,,0.03436185047030449,4.11539888381958,,
,5.670399506143306e-05,2070,,,,,
23,,2159,,,,0.04575163498520851,4.1347784996032715
23,,2159,,0.043478261679410934,4.110788345336914,,
,5.3608130716701005e-05,2160,,,,,
24,,2249,,,,0.0555555559694767,4.151916027069092
24,,2249,,0.03295932710170746,4.0852952003479,,
,5.049999999999999e-05,2250,,,,,
25,,2339,,,,0.0555555559694767,4.090462684631348
25,,2339,,0.040673211216926575,4.075033664703369,,
,4.7391869283298976e-05,2340,,,,,
26,,2429,,,,0.06209150329232216,4.085477828979492
26,,2429,,0.03997194766998291,4.072075366973877,,
,4.429600493856693e-05,2430,,,,,
27,,2519,,,,0.05882352963089943,4.076292991638184
27,,2519,,0.0441795215010643,4.038362503051758,,
,4.122462492800662e-05,2520,,,,,
28,,2609,,,,0.06209150329232216,4.065933704376221
28,,2609,,0.05119214579463005,4.042400360107422,,
,3.8189850585339674e-05,2610,,,,,
29,,2699,,,,0.05882352963089943,4.0839715003967285
29,,2699,,0.046283308416604996,4.0091423988342285,,
,3.5203658778440106e-05,2700,,,,,
30,,2789,,,,0.06862745434045792,4.04643440246582
30,,2789,,0.0441795215010643,4.006843566894531,,
,3.227783464210844e-05,2790,,,,,
31,,2879,,,,0.06535948067903519,4.035647869110107
31,,2879,,0.050490882247686386,4.010586738586426,,
,2.942392506752889e-05,2880,,,,,
32,,2969,,,,0.05882352963089943,4.0436835289001465
32,,2969,,0.044880785048007965,3.989224910736084,,
,2.6653193131965075e-05,2970,,,,,
33,,3059,,,,0.0555555559694767,4.030030727386475
33,,3059,,0.040673211216926575,4.004072189331055,,
,2.3976573648539646e-05,3060,,,,,
34,,3149,,,,0.0555555559694767,4.031581878662109
34,,3149,,0.04838709533214569,3.9798743724823,,
,2.1404630011522576e-05,3150,,,,,
35,,3239,,,,0.05882352963089943,4.020526885986328
35,,3239,,0.05890602990984917,3.977017879486084,,
,1.8947512507439848e-05,3240,,,,,
