epoch,lr-AdamW,step,test_acc,train_acc,train_loss,val_acc,val_loss
,0.001,0,,,,,
0,,44,,,,0.019607843831181526,4.603898525238037
0,,44,,0.006311360280960798,4.614505767822266,,
,0.001,45,,,,,
1,,89,,,,0.019607843831181526,4.603438854217529
1,,89,,0.011921458877623081,4.610895156860352,,
,0.001,90,,,,,
2,,134,,,,0.019607843831181526,4.6015625
2,,134,,0.013323983177542686,4.606966972351074,,
,0.001,135,,,,,
3,,179,,,,0.019607843831181526,4.599737167358398
3,,179,,0.014025245793163776,4.606832981109619,,
,0.001,180,,,,,
4,,224,,,,0.019607843831181526,4.599392414093018
4,,224,,0.014025245793163776,4.603400707244873,,
,0.001,225,,,,,
5,,269,,,,0.019607843831181526,4.596698760986328
5,,269,,0.018232818692922592,4.602173328399658,,
,0.001,270,,,,,
6,,314,,,,0.019607843831181526,4.5969414710998535
6,,314,,0.016129031777381897,4.60189962387085,,
,0.001,315,,,,,
7,,359,,,,0.019607843831181526,4.596405029296875
7,,359,,0.018934082239866257,4.60042142868042,,
,0.001,360,,,,,
8,,404,,,,0.019607843831181526,4.595460414886475
8,,404,,0.019635343924164772,4.599803924560547,,
,0.001,405,,,,,
9,,449,,,,0.019607843831181526,4.595703125
9,,449,,0.018934082239866257,4.598999977111816,,
,0.001,450,,,,,
10,,494,,,,0.019607843831181526,4.595562934875488
10,,494,,0.019635343924164772,4.59995174407959,,
11,,495,0.019607843831181526,,,,
