epoch,lr-AdamW,step,test_acc,train_acc,train_loss,val_acc,val_loss
,0.0001,0,,,,,
0,,21,,,,0.07999999821186066,2.997812509536743
0,,21,,0.054441262036561966,2.9990651607513428,,
,0.0002,22,,,,,
1,,43,,,,0.07999999821186066,2.994400978088379
1,,43,,0.0716332346200943,2.997135639190674,,
,0.0003,44,,,,,
2,,65,,,,0.07999999821186066,2.9764323234558105
2,,65,,0.08309455215930939,2.9939632415771484,,
,0.0004,66,,,,,
3,,87,,,,0.11999999731779099,2.9004557132720947
3,,87,,0.10601719468832016,2.963245391845703,,
,0.0005,88,,,,,
4,,109,,,,0.13333334028720856,2.759648323059082
4,,109,,0.10601719468832016,2.895402431488037,,
,0.0006,110,,,,,
5,,131,,,,0.11999999731779099,2.7182812690734863
5,,131,,0.1117478534579277,2.8605074882507324,,
,0.0007,132,,,,,
6,,153,,,,0.11999999731779099,2.714036464691162
6,,153,,0.09455587714910507,2.8356759548187256,,
,0.0008,154,,,,,
7,,175,,,,0.13333334028720856,2.659205675125122
7,,175,,0.09742120653390884,2.829206705093384,,
,0.0009000000000000001,176,,,,,
8,,197,,,,0.1066666692495346,2.7619271278381348
8,,197,,0.11747851222753525,2.8058016300201416,,
,0.001,198,,,,,
9,,219,,,,0.13333334028720856,2.617239475250244
9,,219,,0.12607449293136597,2.8067359924316406,,
,0.001,220,,,,,
10,,241,,,,0.13333334028720856,2.675807237625122
10,,241,,0.1117478534579277,2.805461883544922,,
,0.0009996954202651977,242,,,,,
11,,263,,,,0.13333334028720856,2.6237239837646484
11,,263,,0.12607449293136597,2.7710015773773193,,
,0.0009987820386886596,264,,,,,
12,,285,,,,0.11999999731779099,2.6818490028381348
12,,285,,0.12034384161233902,2.793421983718872,,
,0.0009972609579563141,286,,,,,
13,,307,,,,0.11999999731779099,2.7607812881469727
13,,307,,0.11461318284273148,2.785656690597534,,
,0.0009951340556144715,308,,,,,
14,,329,,,,0.13333334028720856,2.648463487625122
14,,329,,0.12607449293136597,2.7710704803466797,,
,0.000992403894662857,330,,,,,
15,,351,,,,0.13333334028720856,2.635364532470703
15,,351,,0.1117478534579277,2.765272855758667,,
,0.0009890738129615783,352,,,,,
16,,373,,,,0.13333334028720856,2.6353776454925537
16,,373,,0.12893982231616974,2.811267852783203,,
,0.0009851478934288025,374,,,,,
17,,395,,,,0.11999999731779099,2.7032291889190674
17,,395,,0.12893982231616974,2.7583298683166504,,
,0.0009806308746337891,396,,,,,
18,,417,,,,0.11999999731779099,2.6846094131469727
18,,417,,0.12320917099714279,2.787554979324341,,
,0.0009755282998085022,418,,,,,
19,,439,,,,0.11999999731779099,2.6400129795074463
19,,439,,0.12607449293136597,2.766674041748047,,
,0.0009698463678359985,440,,,,,
20,,461,,,,0.11999999731779099,2.6740756034851074
20,,461,,0.12034384161233902,2.7733383178710938,,
,0.000963591992855072,462,,,,,
21,,483,,,,0.11999999731779099,2.657109260559082
21,,483,,0.14040113985538483,2.758143186569214,,
,0.0009567728042602539,484,,,,,
22,,505,,,,0.13333334028720856,2.654492139816284
22,,505,,0.1117478534579277,2.7742347717285156,,
,0.0009493971168994903,506,,,,,
23,,527,,,,0.11999999731779099,2.628958225250244
23,,527,,0.13467048108577728,2.755542516708374,,
,0.00094147390127182,528,,,,,
24,,549,,,,0.11999999731779099,2.6412110328674316
24,,549,,0.12607449293136597,2.7292673587799072,,
,0.0009330128133296967,550,,,,,
25,,571,,,,0.11999999731779099,2.619661569595337
25,,571,,0.12893982231616974,2.7511355876922607,,
,0.0009240241646766663,572,,,,,
26,,593,,,,0.11999999731779099,2.6494922637939453
26,,593,,0.13467048108577728,2.7617478370666504,,
,0.0009145189225673676,594,,,,,
27,,615,,,,0.13333334028720856,2.5956380367279053
27,,615,,0.1318051517009735,2.7237563133239746,,
,0.000904508650302887,616,,,,,
28,,637,,,,0.13333334028720856,2.604661464691162
28,,637,,0.12034384161233902,2.7315354347229004,,
,0.0008940055370330811,638,,,,,
29,,659,,,,0.11999999731779099,2.6127994060516357
29,,659,,0.1318051517009735,2.741459369659424,,
,0.0008830224275588989,660,,,,,
30,,681,,,,0.13333334028720856,2.603489637374878
30,,681,,0.1318051517009735,2.7182252407073975,,
,0.0008715726137161255,682,,,,,
31,,703,,,,0.11999999731779099,2.6205859184265137
31,,703,,0.1318051517009735,2.7572591304779053,,
,0.0008596701323986054,704,,,,,
32,,725,,,,0.13333334028720856,2.6052474975585938
32,,725,,0.14040113985538483,2.737401247024536,,
,0.0008473294377326965,726,,,,,
33,,747,,,,0.14666666090488434,2.578906297683716
33,,747,,0.13467048108577728,2.7290093898773193,,
,0.0008345655500888824,748,,,,,
34,,769,,,,0.13333334028720856,2.614895820617676
34,,769,,0.1318051517009735,2.7289397716522217,,
,0.0008213940858840942,770,,,,,
35,,791,,,,0.11999999731779099,2.6099348068237305
35,,791,,0.14040113985538483,2.7110066413879395,,
,0.0008078310489654542,792,,,,,
36,,813,,,,0.13333334028720856,2.605781316757202
36,,813,,0.12893982231616974,2.7225279808044434,,
,0.0007938929498195648,814,,,,,
37,,835,,,,0.13333334028720856,2.5860676765441895
37,,835,,0.12320917099714279,2.7538599967956543,,
,0.0007795968055725098,836,,,,,
38,,857,,,,0.11999999731779099,2.613190174102783
38,,857,,0.13753581047058105,2.719736099243164,,
,0.0007649599909782409,858,,,,,
39,,879,,,,0.13333334028720856,2.5937631130218506
39,,879,,0.12893982231616974,2.7304739952087402,,
,0.000750000387430191,880,,,,,
40,,901,,,,0.13333334028720856,2.5677082538604736
40,,901,,0.13753581047058105,2.7237205505371094,,
,0.0007347361743450164,902,,,,,
41,,923,,,,0.11999999731779099,2.5969531536102295
41,,923,,0.1318051517009735,2.711045265197754,,
,0.000719186007976532,924,,,,,
42,,945,,,,0.13333334028720856,2.6134636402130127
42,,945,,0.12034384161233902,2.712143659591675,,
,0.0007033687382936478,946,,,,,
43,,967,,,,0.14666666090488434,2.5773308277130127
43,,967,,0.12607449293136597,2.7235236167907715,,
,0.0006873037666082383,968,,,,,
44,,989,,,,0.13333334028720856,2.5761587619781494
