epoch,lr-AdamW,step,test_acc,train_acc,train_loss,val_acc,val_loss
,0.0003,0,,,,,
0,,43,,,,0.06666667014360428,2.994192600250244
0,,43,,0.05730659142136574,3.002406358718872,,
,0.0002997049959000266,44,,,,,
1,,87,,,,0.07999999821186066,2.9875781536102295
1,,87,,0.054441262036561966,2.9940006732940674,,
,0.00029882114784651444,88,,,,,
2,,131,,,,0.09333333373069763,2.9716928005218506
2,,131,,0.04297994449734688,2.9922099113464355,,
,0.00029735194398393893,132,,,,,
3,,175,,,,0.13333334028720856,2.9091145992279053
3,,175,,0.1117478534579277,2.9669535160064697,,
,0.0002953031825887303,176,,,,,
4,,219,,,,0.13333334028720856,2.722252607345581
4,,219,,0.0916905477643013,2.882697820663452,,
,0.0002926829491861254,220,,,,,
5,,263,,,,0.13333334028720856,2.652578115463257
5,,263,,0.12034384161233902,2.7928457260131836,,
,0.00028950158464029354,264,,,,,
6,,307,,,,0.13333334028720856,2.626354217529297
6,,307,,0.10888252407312393,2.732072114944458,,
,0.00028577164434366993,308,,,,,
7,,351,,,,0.13333334028720856,2.59584641456604
7,,351,,0.11747851222753525,2.733532667160034,,
,0.00028150784866655756,352,,,,,
8,,395,,,,0.13333334028720856,2.599778652191162
8,,395,,0.13467048108577728,2.750352621078491,,
,0.00027672702486255125,396,,,,,
9,,439,,,,0.13333334028720856,2.5825650691986084
9,,439,,0.12893982231616974,2.686145782470703,,
,0.0002714480406590546,440,,,,,
10,,483,,,,0.13333334028720856,2.563593864440918
10,,483,,0.10028653591871262,2.69551944732666,,
,0.00026569172979498044,484,,,,,
11,,527,,,,0.13333334028720856,2.5578384399414062
11,,527,,0.1117478534579277,2.697190046310425,,
,0.000259480809799501,528,,,,,
12,,571,,,,0.13333334028720856,2.555091142654419
12,,571,,0.14899712800979614,2.65311598777771,,
,0.00025283979233633894,572,,,,,
13,,615,,,,0.13333334028720856,2.5461196899414062
13,,615,,0.09455587714910507,2.696199417114258,,
,0.0002457948864674291,616,,,,,
14,,659,,,,0.13333334028720856,2.536250114440918
14,,659,,0.12320917099714279,2.6747066974639893,,
,0.00023837389521772474,660,,,,,
15,,703,,,,0.13333334028720856,2.5459375381469727
15,,703,,0.13467048108577728,2.6617820262908936,,
,0.00023060610584935996,704,,,,,
16,,747,,,,0.13333334028720856,2.5388412475585938
16,,747,,0.10888252407312393,2.661513328552246,,
,0.0002225221742782064,748,,,,,
17,,791,,,,0.13333334028720856,2.549687385559082
17,,791,,0.09742120653390884,2.6786856651306152,,
,0.00021415400408897832,792,,,,,
18,,835,,,,0.13333334028720856,2.5226171016693115
18,,835,,0.10601719468832016,2.660478115081787,,
,0.00020553462062635933,836,,,,,
19,,879,,,,0.13333334028720856,2.511979103088379
19,,879,,0.1318051517009735,2.635745048522949,,
,0.0001966980406590546,880,,,,,
20,,923,,,,0.1599999964237213,2.5103516578674316
20,,923,,0.11461318284273148,2.641833782196045,,
,0.00018767913813114574,924,,,,,
21,,967,,,,0.14666666090488434,2.503190040588379
21,,967,,0.1318051517009735,2.6559786796569824,,
,0.00017851350653056583,968,,,,,
22,,1011,,,,0.13333334028720856,2.517122507095337
22,,1011,,0.14040113985538483,2.616795778274536,,
,0.0001692373184178635,1012,,,,,
23,,1055,,,,0.14666666090488434,2.5078907012939453
23,,1055,,0.12893982231616974,2.6673810482025146,,
,0.00015988718266963235,1056,,,,,
24,,1099,,,,0.13333334028720856,2.5158073902130127
24,,1099,,0.14899712800979614,2.658653736114502,,
,0.0001505,1100,,,,,
25,,1143,,,,0.11999999731779099,2.5075912475585938
25,,1143,,0.1432664692401886,2.598764419555664,,
,0.00014111281733036765,1144,,,,,
26,,1187,,,,0.1599999964237213,2.4512369632720947
26,,1187,,0.12034384161233902,2.622344493865967,,
,0.00013176268158213652,1188,,,,,
27,,1231,,,,0.13333334028720856,2.4690494537353516
27,,1231,,0.15186245739459991,2.6058828830718994,,
,0.00012248649346943417,1232,,,,,
28,,1275,,,,0.1599999964237213,2.5142056941986084
28,,1275,,0.1318051517009735,2.604218006134033,,
,0.0001133208618688542,1276,,,,,
29,,1319,,,,0.18666666746139526,2.440169334411621
29,,1319,,0.13467048108577728,2.594816207885742,,
,0.00010430195934094542,1320,,,,,
30,,1363,,,,0.1599999964237213,2.471874952316284
30,,1363,,0.1318051517009735,2.606311082839966,,
,9.546537937364069e-05,1364,,,,,
31,,1407,,,,0.20000000298023224,2.4204556941986084
31,,1407,,0.15186245739459991,2.5916988849639893,,
,8.684599591102163e-05,1408,,,,,
32,,1451,,,,0.20000000298023224,2.4137370586395264
32,,1451,,0.1547277867794037,2.5740787982940674,,
,7.847782572179354e-05,1452,,,,,
33,,1495,,,,0.20000000298023224,2.420273542404175
33,,1495,,0.163323774933815,2.5510525703430176,,
,7.039389415063997e-05,1496,,,,,
34,,1539,,,,0.20000000298023224,2.3933334350585938
34,,1539,,0.163323774933815,2.5697977542877197,,
,6.262610478227528e-05,1540,,,,,
35,,1583,,,,0.2133333384990692,2.3872134685516357
35,,1583,,0.13467048108577728,2.5618438720703125,,
,5.520511353257088e-05,1584,,,,,
36,,1627,,,,0.20000000298023224,2.4350781440734863
36,,1627,,0.16045844554901123,2.553201675415039,,
,4.8160207663661033e-05,1628,,,,,
37,,1671,,,,0.20000000298023224,2.420468807220459
37,,1671,,0.18051576614379883,2.524791717529297,,
,4.151919020049901e-05,1672,,,,,
38,,1715,,,,0.2266666740179062,2.391953229904175
38,,1715,,0.16045844554901123,2.516982078552246,,
,3.530827020501952e-05,1716,,,,,
39,,1759,,,,0.2133333384990692,2.3850650787353516
39,,1759,,0.16045844554901123,2.5334410667419434,,
,2.9551959340945373e-05,1760,,,,,
40,,1803,,,,0.2133333384990692,2.387864589691162
40,,1803,,0.1833810955286026,2.514897584915161,,
,2.427297513744878e-05,1804,,,,,
41,,1847,,,,0.1733333319425583,2.3769400119781494
41,,1847,,0.13753581047058105,2.5166478157043457,,
,1.9492151333442396e-05,1848,,,,,
42,,1891,,,,0.18666666746139526,2.3731119632720947
42,,1891,,0.14899712800979614,2.5254549980163574,,
,1.5228355656330108e-05,1892,,,,,
43,,1935,,,,0.2133333384990692,2.374309778213501
43,,1935,,0.16905444860458374,2.4831297397613525,,
,1.1498415359706425e-05,1936,,,,,
44,,1979,,,,0.18666666746139526,2.3745832443237305
44,,1979,,0.20057307183742523,2.5007359981536865,,
,8.317050813874547e-06,1980,,,,,
45,,2023,,,,0.18666666746139526,2.378958225250244
45,,2023,,0.1547277867794037,2.524050235748291,,
,5.69681741126967e-06,2024,,,,,
46,,2067,,,,0.18666666746139526,2.3774609565734863
46,,2067,,0.18051576614379883,2.509155511856079,,
,3.648056016061036e-06,2068,,,,,
47,,2111,,,,0.18666666746139526,2.374687433242798
47,,2111,,0.19770774245262146,2.5063321590423584,,
,2.1788521534855743e-06,2112,,,,,
48,,2155,,,,0.18666666746139526,2.37416672706604
48,,2155,,0.18051576614379883,2.4774410724639893,,
,1.295004099973402e-06,2156,,,,,
49,,2199,,,,0.18666666746139526,2.3735287189483643
49,,2199,,0.16618910431861877,2.5104176998138428,,
,1e-06,2200,,,,,
50,,2243,,,,0.18666666746139526,2.373684883117676
50,,2243,,0.14899712800979614,2.5290589332580566,,
,1.2950040999734018e-06,2244,,,,,
51,,2287,,,,0.18666666746139526,2.373359441757202
51,,2287,,0.15759311616420746,2.4612340927124023,,
,2.1788521534855574e-06,2288,,,,,
52,,2331,,,,0.20000000298023224,2.3721745014190674
52,,2331,,0.17765043675899506,2.479635000228882,,
,3.648056016061052e-06,2332,,,,,
53,,2375,,,,0.20000000298023224,2.3702473640441895
53,,2375,,0.17765043675899506,2.474318265914917,,
,5.696817411269636e-06,2376,,,,,
54,,2419,,,,0.2266666740179062,2.3663671016693115
54,,2419,,0.17478510737419128,2.4987688064575195,,
,8.317050813874528e-06,2420,,,,,
55,,2463,,,,0.2133333384990692,2.3684115409851074
55,,2463,,0.14613179862499237,2.5357913970947266,,
,1.1498415359706405e-05,2464,,,,,
56,,2507,,,,0.20000000298023224,2.371757745742798
56,,2507,,0.1547277867794037,2.495699167251587,,
,1.5228355656330052e-05,2508,,,,,
57,,2551,,,,0.2133333384990692,2.365638017654419
57,,2551,,0.16905444860458374,2.521890163421631,,
,1.949215133344239e-05,2552,,,,,
58,,2595,,,,0.2133333384990692,2.3751041889190674
58,,2595,,0.14899712800979614,2.5145280361175537,,
59,,2596,0.1733333319425583,,,,
